Key,Result
31316919,67108864
31308727,67108864
31177655,67108864
31308663,67108864
31177591,67108864
31176567,67108864
15654331,67108864
15588795,67108864
15588283,67108864
15588279,67108864
31308671,67108864
31177599,67108864
31176575,67108864
31309755,67108864
31178683,67108864
31448507,67108864
33414587,67108864
31194043,67108864
33414075,67108864
31176695,67108864
31194039,67108864
33414071,67108864
62634879,67108864
62633855,67108864
62617471,67108864
62355327,67108864
62635963,67108864
62651323,67108864
62897083,67108864
66829243,67108864
62633975,67108864
62617591,67108864
62355447,67108864
62651319,67108864
62897079,67108864
66829239,67108864
62619511,67108864
62357367,67108864
62897015,67108864
66829175,67108864
62388087,67108864
66828151,67108864
62619519,67108864
62357375,67108864
62897023,67108864
66829183,67108864
62388095,67108864
66828159,67108864
62898107,67108864
66830267,67108864
66845627,67108864
62388215,67108864
66828279,67108864
66845623,67108864
125269887,67108864
125270007,67108864
125271927,67108864
125302647,67108864
125794167,67108864
133658487,67108864
125271935,67108864
125302655,67108864
125794175,67108864
133658495,67108864
125302775,67108864
125794295,67108864
133658615,67108864
125796215,67108864
133660535,67108864
133691255,67108864
125796223,67108864
133660543,67108864
133691263,67108864
133691383,67108864
476228,39371552
291908,43565664
280388,43827616
279668,43843808
279623,43844640
238112,39371552
145952,43565664
140192,43827616
238084,39371552
145924,43565664
237636,39371552
132932,43827616
139380,43843808
132212,43843808
139783,43844640
139335,43844640
132167,43844640
119040,307807008
72960,312001120
118788,307807008
65652,312279264
69639,312280096
65607,312280096
475355,294388320
265655,298861600
265663,294387744
265723,294387808
266203,294387872
270043,25969696 294387936 
277723,294388000
293083,294388064
323803,294388128
385243,294388192
508123,294388256
475574,294404704
269159,298877984
269167,294404128
269182,294404192
269302,294404256
270262,294404320
277942,294404384
293302,294404448
324022,294404512
385462,294404576
508342,294404640
476012,294421088
276167,298894368
276175,294420512
276190,294420576
276220,294420640
276460,294420704
278380,294420768
293740,294420832
324460,294420896
385900,294420960
508780,294421024
476888,294437472
290183,298910752
290191,294436896
290206,294436960
